URL,RESPONSE,DESCRIPTION
http://www.example.cn,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.co,,"HTTPConnectionPool(host='www.example.co', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020291110E48>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.cr,,"HTTPConnectionPool(host='www.example.cr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E15C0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.cu,,"HTTPConnectionPool(host='www.example.cu', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E1630>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.cv,,"HTTPConnectionPool(host='www.example.cv', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E15C0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.cw,,"HTTPConnectionPool(host='www.example.cw', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E1B38>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.cx,,"HTTPConnectionPool(host='www.example.cx', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E1390>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.cy,,"HTTPConnectionPool(host='www.example.cy', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E15C0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.cz,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.de,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.dj,,"HTTPConnectionPool(host='www.example.dj', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7C88>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.dk,,"HTTPConnectionPool(host='www.example.dk', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E1198>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond',))"
http://www.example.dm,,"HTTPConnectionPool(host='www.example.dm', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202911109E8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.do,,"HTTPConnectionPool(host='www.example.do', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E1978>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.dz,,"HTTPConnectionPool(host='www.example.dz', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E12B0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.ec,,"HTTPConnectionPool(host='www.example.ec', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E15C0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.ee,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.eg,,"HTTPConnectionPool(host='www.example.eg', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002028D593438>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.eh,,"HTTPConnectionPool(host='www.example.eh', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F73C8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.er,,"HTTPConnectionPool(host='www.example.er', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E12E8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.es,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.et,,"HTTPConnectionPool(host='www.example.et', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020291103518>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.eu,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.fi,,"HTTPConnectionPool(host='www.example.fi', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F9BA8>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond',))"
http://www.example.fj,,"HTTPConnectionPool(host='www.example.fj', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E1588>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.fk,,"HTTPConnectionPool(host='www.example.fk', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202900812E8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.fm,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.fo,,"HTTPConnectionPool(host='www.example.fo', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F77B8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.fr,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.ga,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.gb,,"HTTPConnectionPool(host='www.example.gb', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E1518>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.gd,,"HTTPConnectionPool(host='www.example.gd', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E1DA0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.ge,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.gf,,"HTTPConnectionPool(host='www.example.gf', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910E1CC0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.gg,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
